mode,language,id,country,city,source_query,source_page,query,clicks,impressions,ctr,position
page_wise,en,9487,saudi-arabia,medina,,https://ihadis.com/en/countries/saudi-arabia/prayer-times-medina,madinah salah time,6,2983,0.002011397921555481,6.963794837412001
page_wise,en,9487,saudi-arabia,medina,,https://ihadis.com/en/countries/saudi-arabia/prayer-times-medina,adhan time in madina,6,2983,0.002011397921555481,6.963794837412001
page_wise,en,,singapore,,,https://ihadis.com/en/countries/singapore,azan maghrib,6,8922,0.0006724949562878278,8.36348352387357
page_wise,en,,singapore,,,https://ihadis.com/en/countries/singapore,prayer time here,6,8922,0.0006724949562878278,8.36348352387357
page_wise,en,,singapore,,,https://ihadis.com/en/countries/singapore,what time is solat maghrib,6,8922,0.0006724949562878278,8.36348352387357
page_wise,en,,singapore,,,https://ihadis.com/en/countries/singapore,.maghrib time,6,8922,0.0006724949562878278,8.36348352387357
page_wise,en,,singapore,,,https://ihadis.com/en/countries/singapore,5 prayer timings,6,8922,0.0006724949562878278,8.36348352387357
page_wise,en,930,bangladesh,mymensingh,,https://ihadis.com/en/countries/bangladesh/prayer-times-mymensingh,asr time mymensingh,5,1905,0.0026246719160104987,6.767979002624672
page_wise,en,930,bangladesh,mymensingh,,https://ihadis.com/en/countries/bangladesh/prayer-times-mymensingh,namaz time mymensingh,5,1905,0.0026246719160104987,6.767979002624672
page_wise,en,930,bangladesh,mymensingh,,https://ihadis.com/en/countries/bangladesh/prayer-times-mymensingh,asar namaz time mymensingh,5,1905,0.0026246719160104987,6.767979002624672
page_wise,en,930,bangladesh,mymensingh,,https://ihadis.com/en/countries/bangladesh/prayer-times-mymensingh,asr namaz last time mymensingh,5,1905,0.0026246719160104987,6.767979002624672
page_wise,en,930,bangladesh,mymensingh,,https://ihadis.com/en/countries/bangladesh/prayer-times-mymensingh,asr namaz time mymensingh,5,1905,0.0026246719160104987,6.767979002624672
